Sezon;Data;Gospodarz;Gość;Wynik;Rola;Przeciwnik;Zawodnik;Minuty;Gole;Karne;Żółte;Czerwone;Status;Wejście;Zejście
2022/2023;25 lipca 2022 18:00;Odra Opole;Podbeskidzie Bielsko-Biała;1 - 2;Gość;Odra Opole;(23) Marcel Misztal;82;0;0;0;0;Zszedł;0;82
2022/2023;25 lipca 2022 18:00;Odra Opole;Podbeskidzie Bielsko-Biała;1 - 2;Gość;Odra Opole;(15) Jakub Bieroński;8;0;0;0;0;Wszedł;82;0
2022/2023;25 lipca 2022 18:00;Odra Opole;Podbeskidzie Bielsko-Biała;1 - 2;Gość;Odra Opole;(2) Ezequiel Bonifacio;90;0;0;0;0;Cały mecz;0;0
2022/2023;25 lipca 2022 18:00;Odra Opole;Podbeskidzie Bielsko-Biała;1 - 2;Gość;Odra Opole;(8) Michał Janota;90;0;0;0;0;Cały mecz;0;0
2022/2023;25 lipca 2022 18:00;Odra Opole;Podbeskidzie Bielsko-Biała;1 - 2;Gość;Odra Opole;(22) Joan Román;82;0;0;0;0;Zszedł;0;82
2022/2023;25 lipca 2022 18:00;Odra Opole;Podbeskidzie Bielsko-Biała;1 - 2;Gość;Odra Opole;(11) Yiğit Emre Çeltik;8;0;0;0;0;Wszedł;82;0
2022/2023;25 lipca 2022 18:00;Odra Opole;Podbeskidzie Bielsko-Biała;1 - 2;Gość;Odra Opole;(27) Krzysztof Drzazga;71;0;0;0;0;Zszedł;0;71
2022/2023;25 lipca 2022 18:00;Odra Opole;Podbeskidzie Bielsko-Biała;1 - 2;Gość;Odra Opole;(9) Kamil Biliński;19;1;0;0;0;Wszedł;71;0
2022/2023;31 lipca 2022 12:40;Podbeskidzie Bielsko-Biała;GKS Katowice;1 - 0;Gospodarz;GKS Katowice;(32) Matvei Igonen;90;0;0;1;0;Cały mecz;0;0
2022/2023;31 lipca 2022 12:40;Podbeskidzie Bielsko-Biała;GKS Katowice;1 - 0;Gospodarz;GKS Katowice;(21) Jeppe Simonsen;90;0;0;0;0;Cały mecz;0;0
2022/2023;31 lipca 2022 12:40;Podbeskidzie Bielsko-Biała;GKS Katowice;1 - 0;Gospodarz;GKS Katowice;(44) Julio Rodríguez;90;0;0;0;0;Cały mecz;0;0
2022/2023;31 lipca 2022 12:40;Podbeskidzie Bielsko-Biała;GKS Katowice;1 - 0;Gospodarz;GKS Katowice;(14) Iwajło Markow;90;0;0;0;0;Cały mecz;0;0
2022/2023;31 lipca 2022 12:40;Podbeskidzie Bielsko-Biała;GKS Katowice;1 - 0;Gospodarz;GKS Katowice;(17) Titas Milašius;90;0;0;0;0;Cały mecz;0;0
2022/2023;31 lipca 2022 12:40;Podbeskidzie Bielsko-Biała;GKS Katowice;1 - 0;Gospodarz;GKS Katowice;(24) Maksymilian Sitek;85;0;0;0;0;Zszedł;0;85
2022/2023;31 lipca 2022 12:40;Podbeskidzie Bielsko-Biała;GKS Katowice;1 - 0;Gospodarz;GKS Katowice;(27) Krzysztof Drzazga;5;0;0;0;0;Wszedł;85;0
2022/2023;31 lipca 2022 12:40;Podbeskidzie Bielsko-Biała;GKS Katowice;1 - 0;Gospodarz;GKS Katowice;(23) Marcel Misztal;69;0;0;0;0;Zszedł;0;69
2022/2023;31 lipca 2022 12:40;Podbeskidzie Bielsko-Biała;GKS Katowice;1 - 0;Gospodarz;GKS Katowice;(47) Bartosz Bernard;21;0;0;0;0;Wszedł;69;0
2022/2023;31 lipca 2022 12:40;Podbeskidzie Bielsko-Biała;GKS Katowice;1 - 0;Gospodarz;GKS Katowice;(2) Ezequiel Bonifacio;90;0;0;0;1;Cały mecz;0;0
2022/2023;31 lipca 2022 12:40;Podbeskidzie Bielsko-Biała;GKS Katowice;1 - 0;Gospodarz;GKS Katowice;(8) Michał Janota;90;0;0;1;0;Cały mecz;0;0
2022/2023;31 lipca 2022 12:40;Podbeskidzie Bielsko-Biała;GKS Katowice;1 - 0;Gospodarz;GKS Katowice;(22) Joan Román;79;1;0;0;0;Zszedł;0;79
2022/2023;31 lipca 2022 12:40;Podbeskidzie Bielsko-Biała;GKS Katowice;1 - 0;Gospodarz;GKS Katowice;(30) Tomasz Jodłowiec;11;0;0;0;0;Wszedł;79;0
2022/2023;31 lipca 2022 12:40;Podbeskidzie Bielsko-Biała;GKS Katowice;1 - 0;Gospodarz;GKS Katowice;(9) Kamil Biliński;90;0;0;0;0;Cały mecz;0;0
2022/2023;7 sierpnia 2022 12:40;GKS Tychy;Podbeskidzie Bielsko-Biała;1 - 4;Gość;GKS Tychy;(32) Matvei Igonen;90;0;0;0;0;Cały mecz;0;0
2022/2023;7 sierpnia 2022 12:40;GKS Tychy;Podbeskidzie Bielsko-Biała;1 - 4;Gość;GKS Tychy;(21) Jeppe Simonsen;90;0;0;1;0;Cały mecz;0;0
2022/2023;7 sierpnia 2022 12:40;GKS Tychy;Podbeskidzie Bielsko-Biała;1 - 4;Gość;GKS Tychy;(44) Julio Rodríguez;90;0;0;0;0;Cały mecz;0;0
2022/2023;7 sierpnia 2022 12:40;GKS Tychy;Podbeskidzie Bielsko-Biała;1 - 4;Gość;GKS Tychy;(14) Iwajło Markow;84;0;0;1;0;Zszedł;0;84
2022/2023;7 sierpnia 2022 12:40;GKS Tychy;Podbeskidzie Bielsko-Biała;1 - 4;Gość;GKS Tychy;(89) Daniel Mikołajewski;6;0;0;1;0;Wszedł;84;0
2022/2023;7 sierpnia 2022 12:40;GKS Tychy;Podbeskidzie Bielsko-Biała;1 - 4;Gość;GKS Tychy;(17) Titas Milašius;90;0;0;1;0;Cały mecz;0;0
2022/2023;7 sierpnia 2022 12:40;GKS Tychy;Podbeskidzie Bielsko-Biała;1 - 4;Gość;GKS Tychy;(47) Bartosz Bernard;85;1;0;0;0;Zszedł;0;85
2022/2023;7 sierpnia 2022 12:40;GKS Tychy;Podbeskidzie Bielsko-Biała;1 - 4;Gość;GKS Tychy;(23) Marcel Misztal;5;0;0;0;0;Wszedł;85;0
2022/2023;7 sierpnia 2022 12:40;GKS Tychy;Podbeskidzie Bielsko-Biała;1 - 4;Gość;GKS Tychy;(30) Tomasz Jodłowiec;90;1;0;0;0;Cały mecz;0;0
2022/2023;7 sierpnia 2022 12:40;GKS Tychy;Podbeskidzie Bielsko-Biała;1 - 4;Gość;GKS Tychy;(8) Michał Janota;37;0;0;0;0;Zszedł;0;37
2022/2023;7 sierpnia 2022 12:40;GKS Tychy;Podbeskidzie Bielsko-Biała;1 - 4;Gość;GKS Tychy;(10) Dawid Polkowski;53;0;0;0;0;Wszedł;37;0
2022/2023;7 sierpnia 2022 12:40;GKS Tychy;Podbeskidzie Bielsko-Biała;1 - 4;Gość;GKS Tychy;(27) Krzysztof Drzazga;72;0;0;0;0;Zszedł;0;72
2022/2023;7 sierpnia 2022 12:40;GKS Tychy;Podbeskidzie Bielsko-Biała;1 - 4;Gość;GKS Tychy;(24) Maksymilian Sitek;18;1;0;0;0;Wszedł;72;0
2022/2023;7 sierpnia 2022 12:40;GKS Tychy;Podbeskidzie Bielsko-Biała;1 - 4;Gość;GKS Tychy;(22) Joan Román;90;0;0;0;0;Cały mecz;0;0
2022/2023;7 sierpnia 2022 12:40;GKS Tychy;Podbeskidzie Bielsko-Biała;1 - 4;Gość;GKS Tychy;(9) Kamil Biliński;90;1;0;0;0;Cały mecz;0;0
2022/2023;10 sierpnia 2022 18:00;Podbeskidzie Bielsko-Biała;Skra Częstochowa;0 - 1;Gospodarz;Skra Częstochowa;(32) Matvei Igonen;90;0;0;0;0;Cały mecz;0;0
2022/2023;10 sierpnia 2022 18:00;Podbeskidzie Bielsko-Biała;Skra Częstochowa;0 - 1;Gospodarz;Skra Częstochowa;(47) Bartosz Bernard;70;0;0;0;0;Zszedł;0;70
2022/2023;10 sierpnia 2022 18:00;Podbeskidzie Bielsko-Biała;Skra Częstochowa;0 - 1;Gospodarz;Skra Częstochowa;(11) Yiğit Emre Çeltik;20;0;0;0;0;Wszedł;70;0
2022/2023;10 sierpnia 2022 18:00;Podbeskidzie Bielsko-Biała;Skra Częstochowa;0 - 1;Gospodarz;Skra Częstochowa;(89) Daniel Mikołajewski;90;0;0;0;0;Cały mecz;0;0
2022/2023;10 sierpnia 2022 18:00;Podbeskidzie Bielsko-Biała;Skra Częstochowa;0 - 1;Gospodarz;Skra Częstochowa;(44) Julio Rodríguez;90;0;0;0;0;Cały mecz;0;0
2022/2023;10 sierpnia 2022 18:00;Podbeskidzie Bielsko-Biała;Skra Częstochowa;0 - 1;Gospodarz;Skra Częstochowa;(21) Jeppe Simonsen;90;0;0;0;0;Cały mecz;0;0
2022/2023;10 sierpnia 2022 18:00;Podbeskidzie Bielsko-Biała;Skra Częstochowa;0 - 1;Gospodarz;Skra Częstochowa;(27) Krzysztof Drzazga;61;0;0;0;0;Zszedł;0;61
2022/2023;10 sierpnia 2022 18:00;Podbeskidzie Bielsko-Biała;Skra Częstochowa;0 - 1;Gospodarz;Skra Częstochowa;(24) Maksymilian Sitek;29;0;0;0;0;Wszedł;61;0
2022/2023;10 sierpnia 2022 18:00;Podbeskidzie Bielsko-Biała;Skra Częstochowa;0 - 1;Gospodarz;Skra Częstochowa;(30) Tomasz Jodłowiec;90;0;0;0;0;Cały mecz;0;0
2022/2023;10 sierpnia 2022 18:00;Podbeskidzie Bielsko-Biała;Skra Częstochowa;0 - 1;Gospodarz;Skra Częstochowa;(10) Dawid Polkowski;60;0;0;1;0;Zszedł;0;60
2022/2023;10 sierpnia 2022 18:00;Podbeskidzie Bielsko-Biała;Skra Częstochowa;0 - 1;Gospodarz;Skra Częstochowa;(23) Marcel Misztal;30;0;0;1;0;Wszedł;60;0
2022/2023;10 sierpnia 2022 18:00;Podbeskidzie Bielsko-Biała;Skra Częstochowa;0 - 1;Gospodarz;Skra Częstochowa;(22) Joan Román;90;0;0;0;0;Cały mecz;0;0
2022/2023;10 sierpnia 2022 18:00;Podbeskidzie Bielsko-Biała;Skra Częstochowa;0 - 1;Gospodarz;Skra Częstochowa;(17) Titas Milašius;90;0;0;0;0;Cały mecz;0;0
2022/2023;10 sierpnia 2022 18:00;Podbeskidzie Bielsko-Biała;Skra Częstochowa;0 - 1;Gospodarz;Skra Częstochowa;(9) Kamil Biliński;90;0;0;0;0;Cały mecz;0;0
2022/2023;14 sierpnia 2022 18:00;Chrobry Głogów;Podbeskidzie Bielsko-Biała;0 - 1;Gość;Chrobry Głogów;(32) Matvei Igonen;90;0;0;0;0;Cały mecz;0;0
2022/2023;14 sierpnia 2022 18:00;Chrobry Głogów;Podbeskidzie Bielsko-Biała;0 - 1;Gość;Chrobry Głogów;(47) Bartosz Bernard;59;0;0;0;0;Zszedł;0;59
2022/2023;14 sierpnia 2022 18:00;Chrobry Głogów;Podbeskidzie Bielsko-Biała;0 - 1;Gość;Chrobry Głogów;(23) Marcel Misztal;31;0;0;0;0;Wszedł;59;0
2022/2023;14 sierpnia 2022 18:00;Chrobry Głogów;Podbeskidzie Bielsko-Biała;0 - 1;Gość;Chrobry Głogów;(89) Daniel Mikołajewski;90;0;0;0;0;Cały mecz;0;0
2022/2023;14 sierpnia 2022 18:00;Chrobry Głogów;Podbeskidzie Bielsko-Biała;0 - 1;Gość;Chrobry Głogów;(44) Julio Rodríguez;90;0;0;0;0;Cały mecz;0;0
2022/2023;14 sierpnia 2022 18:00;Chrobry Głogów;Podbeskidzie Bielsko-Biała;0 - 1;Gość;Chrobry Głogów;(21) Jeppe Simonsen;90;0;0;0;0;Cały mecz;0;0
2022/2023;14 sierpnia 2022 18:00;Chrobry Głogów;Podbeskidzie Bielsko-Biała;0 - 1;Gość;Chrobry Głogów;(24) Maksymilian Sitek;90;0;0;0;0;Cały mecz;0;0
2022/2023;14 sierpnia 2022 18:00;Chrobry Głogów;Podbeskidzie Bielsko-Biała;0 - 1;Gość;Chrobry Głogów;(30) Tomasz Jodłowiec;69;0;0;0;0;Zszedł;0;69
2022/2023;14 sierpnia 2022 18:00;Chrobry Głogów;Podbeskidzie Bielsko-Biała;0 - 1;Gość;Chrobry Głogów;(37) Mathieu Scalet;21;0;0;0;0;Wszedł;69;0
2022/2023;14 sierpnia 2022 18:00;Chrobry Głogów;Podbeskidzie Bielsko-Biała;0 - 1;Gość;Chrobry Głogów;(2) Ezequiel Bonifacio;90;0;0;0;0;Cały mecz;0;0
2022/2023;14 sierpnia 2022 18:00;Chrobry Głogów;Podbeskidzie Bielsko-Biała;0 - 1;Gość;Chrobry Głogów;(22) Joan Román;69;0;0;0;0;Zszedł;0;69
2022/2023;14 sierpnia 2022 18:00;Chrobry Głogów;Podbeskidzie Bielsko-Biała;0 - 1;Gość;Chrobry Głogów;(11) Yiğit Emre Çeltik;21;0;0;0;0;Wszedł;69;0
2022/2023;14 sierpnia 2022 18:00;Chrobry Głogów;Podbeskidzie Bielsko-Biała;0 - 1;Gość;Chrobry Głogów;(17) Titas Milašius;59;0;0;1;0;Zszedł;0;59
2022/2023;14 sierpnia 2022 18:00;Chrobry Głogów;Podbeskidzie Bielsko-Biała;0 - 1;Gość;Chrobry Głogów;(27) Krzysztof Drzazga;31;0;0;1;0;Wszedł;59;0
2022/2023;14 sierpnia 2022 18:00;Chrobry Głogów;Podbeskidzie Bielsko-Biała;0 - 1;Gość;Chrobry Głogów;(9) Kamil Biliński;86;1;0;0;0;Zszedł;0;86
2022/2023;14 sierpnia 2022 18:00;Chrobry Głogów;Podbeskidzie Bielsko-Biała;0 - 1;Gość;Chrobry Głogów;(99) Kacper Wełniak;4;0;0;0;0;Wszedł;86;0
2022/2023;20 sierpnia 2022 15:00;Podbeskidzie Bielsko-Biała;Puszcza Niepołomice;0 - 1;Gospodarz;Puszcza Niepołomice;(32) Matvei Igonen;90;0;0;0;0;Cały mecz;0;0
2022/2023;20 sierpnia 2022 15:00;Podbeskidzie Bielsko-Biała;Puszcza Niepołomice;0 - 1;Gospodarz;Puszcza Niepołomice;(47) Bartosz Bernard;90;0;0;0;0;Zszedł;0;90
2022/2023;20 sierpnia 2022 15:00;Podbeskidzie Bielsko-Biała;Puszcza Niepołomice;0 - 1;Gospodarz;Puszcza Niepołomice;(23) Marcel Misztal;0;0;0;0;0;Wszedł;90;0
2022/2023;20 sierpnia 2022 15:00;Podbeskidzie Bielsko-Biała;Puszcza Niepołomice;0 - 1;Gospodarz;Puszcza Niepołomice;(89) Daniel Mikołajewski;46;0;0;1;0;Zszedł;0;46
2022/2023;20 sierpnia 2022 15:00;Podbeskidzie Bielsko-Biała;Puszcza Niepołomice;0 - 1;Gospodarz;Puszcza Niepołomice;(14) Iwajło Markow;44;0;0;1;0;Wszedł;46;0
2022/2023;20 sierpnia 2022 15:00;Podbeskidzie Bielsko-Biała;Puszcza Niepołomice;0 - 1;Gospodarz;Puszcza Niepołomice;(44) Julio Rodríguez;90;0;0;0;0;Cały mecz;0;0
2022/2023;20 sierpnia 2022 15:00;Podbeskidzie Bielsko-Biała;Puszcza Niepołomice;0 - 1;Gospodarz;Puszcza Niepołomice;(21) Jeppe Simonsen;90;0;0;0;0;Cały mecz;0;0
2022/2023;20 sierpnia 2022 15:00;Podbeskidzie Bielsko-Biała;Puszcza Niepołomice;0 - 1;Gospodarz;Puszcza Niepołomice;(27) Krzysztof Drzazga;67;0;0;0;0;Zszedł;0;67
2022/2023;20 sierpnia 2022 15:00;Podbeskidzie Bielsko-Biała;Puszcza Niepołomice;0 - 1;Gospodarz;Puszcza Niepołomice;(17) Titas Milašius;23;0;0;0;0;Wszedł;67;0
2022/2023;20 sierpnia 2022 15:00;Podbeskidzie Bielsko-Biała;Puszcza Niepołomice;0 - 1;Gospodarz;Puszcza Niepołomice;(2) Ezequiel Bonifacio;90;0;0;1;0;Cały mecz;0;0
2022/2023;20 sierpnia 2022 15:00;Podbeskidzie Bielsko-Biała;Puszcza Niepołomice;0 - 1;Gospodarz;Puszcza Niepołomice;(30) Tomasz Jodłowiec;90;0;0;0;0;Cały mecz;0;0
2022/2023;20 sierpnia 2022 15:00;Podbeskidzie Bielsko-Biała;Puszcza Niepołomice;0 - 1;Gospodarz;Puszcza Niepołomice;(22) Joan Román;76;0;0;0;0;Zszedł;0;76
2022/2023;20 sierpnia 2022 15:00;Podbeskidzie Bielsko-Biała;Puszcza Niepołomice;0 - 1;Gospodarz;Puszcza Niepołomice;(99) Kacper Wełniak;14;0;0;0;0;Wszedł;76;0
2022/2023;20 sierpnia 2022 15:00;Podbeskidzie Bielsko-Biała;Puszcza Niepołomice;0 - 1;Gospodarz;Puszcza Niepołomice;(24) Maksymilian Sitek;67;0;0;1;0;Zszedł;0;67
2022/2023;20 sierpnia 2022 15:00;Podbeskidzie Bielsko-Biała;Puszcza Niepołomice;0 - 1;Gospodarz;Puszcza Niepołomice;(11) Yiğit Emre Çeltik;23;0;0;1;0;Wszedł;67;0
2022/2023;20 sierpnia 2022 15:00;Podbeskidzie Bielsko-Biała;Puszcza Niepołomice;0 - 1;Gospodarz;Puszcza Niepołomice;(9) Kamil Biliński;90;0;0;1;0;Cały mecz;0;0
2022/2023;27 sierpnia 2022 15:00;Stal Rzeszów;Podbeskidzie Bielsko-Biała;5 - 0;Gość;Stal Rzeszów;(32) Matvei Igonen;90;0;0;0;0;Cały mecz;0;0
2022/2023;27 sierpnia 2022 15:00;Stal Rzeszów;Podbeskidzie Bielsko-Biała;5 - 0;Gość;Stal Rzeszów;(21) Jeppe Simonsen;90;0;0;0;0;Cały mecz;0;0
2022/2023;27 sierpnia 2022 15:00;Stal Rzeszów;Podbeskidzie Bielsko-Biała;5 - 0;Gość;Stal Rzeszów;(44) Julio Rodríguez;90;0;0;0;0;Cały mecz;0;0
2022/2023;27 sierpnia 2022 15:00;Stal Rzeszów;Podbeskidzie Bielsko-Biała;5 - 0;Gość;Stal Rzeszów;(14) Iwajło Markow;90;0;0;0;0;Cały mecz;0;0
2022/2023;27 sierpnia 2022 15:00;Stal Rzeszów;Podbeskidzie Bielsko-Biała;5 - 0;Gość;Stal Rzeszów;(2) Ezequiel Bonifacio;90;0;0;0;0;Cały mecz;0;0
2022/2023;27 sierpnia 2022 15:00;Stal Rzeszów;Podbeskidzie Bielsko-Biała;5 - 0;Gość;Stal Rzeszów;(55) Michał Willmann;46;0;0;0;0;Zszedł;0;46
2022/2023;27 sierpnia 2022 15:00;Stal Rzeszów;Podbeskidzie Bielsko-Biała;5 - 0;Gość;Stal Rzeszów;(23) Marcel Misztal;44;0;0;0;0;Wszedł;46;0
2022/2023;27 sierpnia 2022 15:00;Stal Rzeszów;Podbeskidzie Bielsko-Biała;5 - 0;Gość;Stal Rzeszów;(37) Mathieu Scalet;46;0;0;0;0;Zszedł;0;46
2022/2023;27 sierpnia 2022 15:00;Stal Rzeszów;Podbeskidzie Bielsko-Biała;5 - 0;Gość;Stal Rzeszów;(27) Krzysztof Drzazga;44;0;0;0;0;Wszedł;46;0
2022/2023;27 sierpnia 2022 15:00;Stal Rzeszów;Podbeskidzie Bielsko-Biała;5 - 0;Gość;Stal Rzeszów;(30) Tomasz Jodłowiec;62;0;0;0;0;Zszedł;0;62
2022/2023;27 sierpnia 2022 15:00;Stal Rzeszów;Podbeskidzie Bielsko-Biała;5 - 0;Gość;Stal Rzeszów;(89) Daniel Mikołajewski;28;0;0;0;0;Wszedł;62;0
2022/2023;27 sierpnia 2022 15:00;Stal Rzeszów;Podbeskidzie Bielsko-Biała;5 - 0;Gość;Stal Rzeszów;(24) Maksymilian Sitek;90;0;0;0;0;Cały mecz;0;0
2022/2023;27 sierpnia 2022 15:00;Stal Rzeszów;Podbeskidzie Bielsko-Biała;5 - 0;Gość;Stal Rzeszów;(22) Joan Román;62;0;0;0;0;Zszedł;0;62
2022/2023;27 sierpnia 2022 15:00;Stal Rzeszów;Podbeskidzie Bielsko-Biała;5 - 0;Gość;Stal Rzeszów;(11) Yiğit Emre Çeltik;28;0;0;0;0;Wszedł;62;0
2022/2023;27 sierpnia 2022 15:00;Stal Rzeszów;Podbeskidzie Bielsko-Biała;5 - 0;Gość;Stal Rzeszów;(9) Kamil Biliński;76;0;0;0;0;Zszedł;0;76
2022/2023;27 sierpnia 2022 15:00;Stal Rzeszów;Podbeskidzie Bielsko-Biała;5 - 0;Gość;Stal Rzeszów;(99) Kacper Wełniak;14;0;0;0;0;Wszedł;76;0
2022/2023;4 września 2022 12:40;Podbeskidzie Bielsko-Biała;Ruch Chorzów;0 - 1;Gospodarz;Ruch Chorzów;(32) Matvei Igonen;90;0;0;0;0;Cały mecz;0;0
2022/2023;4 września 2022 12:40;Podbeskidzie Bielsko-Biała;Ruch Chorzów;0 - 1;Gospodarz;Ruch Chorzów;(24) Maksymilian Sitek;83;0;0;0;0;Zszedł;0;83
2022/2023;4 września 2022 12:40;Podbeskidzie Bielsko-Biała;Ruch Chorzów;0 - 1;Gospodarz;Ruch Chorzów;(55) Michał Willmann;7;0;0;0;0;Wszedł;83;0
2022/2023;4 września 2022 12:40;Podbeskidzie Bielsko-Biała;Ruch Chorzów;0 - 1;Gospodarz;Ruch Chorzów;(21) Jeppe Simonsen;90;0;0;0;0;Cały mecz;0;0
2022/2023;4 września 2022 12:40;Podbeskidzie Bielsko-Biała;Ruch Chorzów;0 - 1;Gospodarz;Ruch Chorzów;(44) Julio Rodríguez;90;0;0;0;0;Cały mecz;0;0
2022/2023;4 września 2022 12:40;Podbeskidzie Bielsko-Biała;Ruch Chorzów;0 - 1;Gospodarz;Ruch Chorzów;(14) Iwajło Markow;90;0;0;0;0;Cały mecz;0;0
2022/2023;4 września 2022 12:40;Podbeskidzie Bielsko-Biała;Ruch Chorzów;0 - 1;Gospodarz;Ruch Chorzów;(2) Ezequiel Bonifacio;90;0;0;0;0;Cały mecz;0;0
2022/2023;4 września 2022 12:40;Podbeskidzie Bielsko-Biała;Ruch Chorzów;0 - 1;Gospodarz;Ruch Chorzów;(8) Michał Janota;83;0;0;0;0;Zszedł;0;83
2022/2023;4 września 2022 12:40;Podbeskidzie Bielsko-Biała;Ruch Chorzów;0 - 1;Gospodarz;Ruch Chorzów;(28) Lionel Abate Etoundi;7;0;0;0;0;Wszedł;83;0
2022/2023;4 września 2022 12:40;Podbeskidzie Bielsko-Biała;Ruch Chorzów;0 - 1;Gospodarz;Ruch Chorzów;(37) Mathieu Scalet;90;0;0;0;0;Cały mecz;0;0
2022/2023;4 września 2022 12:40;Podbeskidzie Bielsko-Biała;Ruch Chorzów;0 - 1;Gospodarz;Ruch Chorzów;(23) Marcel Misztal;61;0;0;0;0;Zszedł;0;61
2022/2023;4 września 2022 12:40;Podbeskidzie Bielsko-Biała;Ruch Chorzów;0 - 1;Gospodarz;Ruch Chorzów;(15) Jakub Bieroński;29;0;0;0;0;Wszedł;61;0
2022/2023;4 września 2022 12:40;Podbeskidzie Bielsko-Biała;Ruch Chorzów;0 - 1;Gospodarz;Ruch Chorzów;(27) Krzysztof Drzazga;67;0;0;1;0;Zszedł;0;67
