kolejka,sezon,data meczu,miejsce rozgrywania,tsp,rywal,wynik,strzelcy,rozgrywki,frekwencja
25,1997/98,16.05.1998,Nowa WIeś,Podbeskidzie Bielsko-Biała,LKS Niwa Nowa Wieś,5-0,"Kuś 17, Moskała 25, Duleba 52, Matejko 75, 90",IV liga,
26,1997/98,23.05.1998,Bielsko-Biała (Komorowice),Podbeskidzie Bielsko-Biała,Stanisławianka Stanisław,3-0,"Kuś 30, 75, Moskała 81",IV liga,
27,1997/98,30.05.1998,Żywiec,Podbeskidzie Bielsko-Biała,Koszarawa Żywiec,1-1,Kuś 84,IV liga,
28,1997/98,06.06.1998,Bielsko-Biała (Komorowice),Podbeskidzie Bielsko-Biała,Skawa Wadowice,1-0,Moskała 60,IV liga,
29,1997/98,14.06.1998,Zembrzyce,Podbeskidzie Bielsko-Biała,Garbarz Zembrzyce,1-3,Bak 80,IV liga,
30,1997/98,20.06.1998,Bielsko-Biała (Komorowice),Podbeskidzie Bielsko-Biała,Beskid Andrychów,6-0,"Senecki 6, 18, Moskała 23, 26, Kuś 30, Studencki 33",IV liga,
01,1998/99,08.08.1998,Bielsko-Biała (Komorowice),Podbeskidzie Bielsko-Biała,Cukrownik Chybie,4-0,"Więzik 60, 73, Zagórski 82, Kurzeja 90",IV liga,
02,1998/99,15.08.1998,Sucha Beskidzka,Podbeskidzie Bielsko-Biała,Babia Góra Sucha Beskidzka,2-0,"Jendryczko 27, Frączek 75",IV liga,
03,1998/99,19.08.1998,Bielsko-Biała (Komorowice),Podbeskidzie Bielsko-Biała,Kuźnia Ustroń,2-1,"Zagórski 25, Więzik 90",IV liga,
04,1998/99,22.08.1998,Kęty,Podbeskidzie Bielsko-Biała,Hejnał Kęty,0-0,,IV liga,
05,1998/99,26.08.1998,Bielsko-Biała (Komorowice),Podbeskidzie Bielsko-Biała,Skawa Wadowice,6-0,"Zagórski 8, 24, Więzik 41, Kurzeja 75, Kuś 78, Matejko 80",IV liga,
06,1998/99,29.08.1998,Bielsko-Biała (Komorowice),Podbeskidzie Bielsko-Biała,Śrubiarnia Żywiec,3-0,"Zagórski 25, Jendryczko 65, Matejko 80",IV liga,
07,1998/99,05.09.1998,Żywiec,Podbeskidzie Bielsko-Biała,Koszarawa Żywiec,3-1,"Zagórski 48, Frączek 75, 80",IV liga,
08,1998/99,09.09.1998,Bielsko-Biała (Komorowice),Podbeskidzie Bielsko-Biała,Beskid Brenna,5-0,"Frączek 9, 75, Zagórski 20, 46, 67",IV liga,
09,1998/99,13.09.1998,Porąbka,Podbeskidzie Bielsko-Biała,Zapora Porąbka,4-2,"Kurzeja 6, Więzik 40, Frączek 68, Sokołowski 81",IV liga,
10,1998/99,20.09.1998,Bielsko-Biała (Komorowice),Podbeskidzie Bielsko-Biała,Metal Węgierska Górka,11-0,"Zagórski 13, 35, 70, Więzik 20, Sokołowski 26, 78, Jendryczko 25, 55, Frączek 30, Matejko 65, 80",IV liga,
11,1998/99,26.09.1998,Klecza,Podbeskidzie Bielsko-Biała,Iskra Klecza,1-0,Frączek 75,IV liga,
12,1998/99,03.10.1998,Bielsko-Biała (Komorowice),Podbeskidzie Bielsko-Biała,Wisła Strumień,3-0,"Zagórski 20, 63, Frączek 73",IV liga,
13,1998/99,11.10.1998,Pisarzowice,Podbeskidzie Bielsko-Biała,Pionier Pisarzowice,2-1,"Frączek 15, Zagórski 40",IV liga,
14,1998/99,18.10.1998,Bielsko-Biała (Komorowice),Podbeskidzie Bielsko-Biała,Unia Oświęcim,0-0,,IV liga,
15,1998/99,25.10.1998,Wieprz,Podbeskidzie Bielsko-Biała,Jedność Wieprz,3-1,"Moskała 27, Więzik 42, Frączek 80",IV liga,
16,1998/99,31.10.1998,Bielsko-Biała (Komorowice),Podbeskidzie Bielsko-Biała,Morcinek Kaczyce,4-3,"Frączek 33, Więzik 68, 89, Kurzeja 87",IV liga,
17,1998/99,08.11.1998,Chełmek,Podbeskidzie Bielsko-Biała,KS Chełmek,2-2,"Moskała 51, Więzik 80",IV liga,
18,1998/99,11.11.1998,Chybie,Podbeskidzie Bielsko-Biała,Cukrownik Chybie,4-0,"Więzik 23, 30, Frączek 51, Zagórski 82",IV liga,
19,1998/99,14.11.1998,Bielsko-Biała (Komorowice),Podbeskidzie Bielsko-Biała,Babia Góra Sucha Beskidzka,2-0,"Więzik 21, 60",IV liga,
20,1998/99,27.03.1999,Ustroń,Podbeskidzie Bielsko-Biała,Kuźnia Ustroń,6-0,"Moskała 11, Zagórski 37, 42, 75, Sokołowski 45, Więzik 64",IV liga,
21,1998/99,03.04.1999,Bielsko-Biała (Komorowice),Podbeskidzie Bielsko-Biała,Hejnał Kęty,5-0,"Kurzeja 48, Moskała 53, 70, Zagórski 59, Jendryczko 64",IV liga,
22,1998/99,10.04.1999,Wadowice,Podbeskidzie Bielsko-Biała,Skawa Wadowice,7-0,"Więzik 33, 52, 70, 81, Moskała 57, Drewniak 65, Gancarczyk 89",IV liga,
23,1998/99,17.04.1999,Żywiec,Podbeskidzie Bielsko-Biała,Śrubiarnia Żywiec,5-1,"Więzik 5, 43, 54, Moskała 62, Frączek 76",IV liga,
24,1998/99,24.04.1999,Bielsko-Biała (Komorowice),Podbeskidzie Bielsko-Biała,Koszarawa Żywiec,5-1,"Kurzeja 14, Jendryczko 35, Sokołowski 53, Moskała 68, Więzik 86",IV liga,
25,1998/99,01.05.1999,Brenna,Podbeskidzie Bielsko-Biała,Beskid Brenna,5-0,"Moskała 22, 31, Kurzeja 47, Więzik 78, Wszołek 83",IV liga,
26,1998/99,08.05.1999,Bielsko-Biała (Komorowice),Podbeskidzie Bielsko-Biała,Zapora Porąbka,1-0,Kuś 34,IV liga,
27,1998/99,15.05.1999,Węgierska Górka,Podbeskidzie Bielsko-Biała,Metal Węgierska Górka,5-1,"Ziółkowski 10, Moskała 37, Frączek 60, 80, Sokołowski 88",IV liga,
28,1998/99,22.05.1999,Bielsko-Biała (Komorowice),Podbeskidzie Bielsko-Biała,Iskra Klecza,3-0,"Kurzeja 20, 75, Jendryczko 53",IV liga,
29,1998/99,30.05.1999,Strumień,Podbeskidzie Bielsko-Biała,Wisła Strumień,7-1,"Frączek 10, 75, Więzik 18, 44, Moskała 28, 45, 60",IV liga,
30,1998/99,06.06.1999,Bielsko-Biała (Komorowice),Podbeskidzie Bielsko-Biała,Pionier Pisarzowice,5-0,"Moskała 14, 65, 78, Sokołowski 55, Więzik 56",IV liga,
31,1998/99,09.06.1999,Oświęcim,Podbeskidzie Bielsko-Biała,Unia Oświęcim,0-0, ,IV liga,
32,1998/99,12.06.1999,Bielsko-Biała (Komorowice),Podbeskidzie Bielsko-Biała,Jedność Wieprz,7-2,"Sokołowski 19, Frączek 21, 52, Kalinowski 24, Moskała 45, 69, 76",IV liga,
33,1998/99,16.06.1999,Bielsko-Biała (Komorowice),Podbeskidzie Bielsko-Biała,KS Chełmek,5-1,"Sokołowski 15, Drewniak 41, Moskała 44, 69, Frączek 90",IV liga,
34,1998/99,19.06.1999,Kaczyce,Podbeskidzie Bielsko-Biała,Morcinek Kaczyce,4-2,"Moskała 5, Duleba 55, Ziółkowski 88, Sokołowski 89",IV liga,
01,1999/00,07.08.1999,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Górnik Siersza,7-0,"Moskała 44, 85, Więzik 55, 90, Kurzeja 21, Bujok 26, Pancer 40",III liga,
02,1999/00,14.08.1999,Niedobczyce,Podbeskidzie Bielsko-Biała,Rymer Niedobczyce,8-0,"Pancer 9, 22, Bujok 14, 85, Więzik 47, 57, 75, Woźniak 65",III liga,
03,1999/00,18.08.1999,Bielsko-Biała (Komorowice),Podbeskidzie Bielsko-Biała,BKS Stal,0-0,,III liga,
04,1999/00,21.08.1999,Jaworzno,Podbeskidzie Bielsko-Biała,VIctoria Jaworzno,2-1,"Piekarski 8, Więzik 20",III liga,
05,1999/00,28.08.1999,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Janina Libiąż,2-1,"Więzik 5, Lazar 72",III liga,
06,1999/00,01.09.1999,Bieruń,Podbeskidzie Bielsko-Biała,Unia Bieruń Stary,0-0,,III liga,
07,1999/00,04.09.1999,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Garbarz Zembrzyce,1-0,Lazar 40,III liga,
08,1999/00,11.09.1999,Krzanowice,Podbeskidzie Bielsko-Biała,Peberow Krzanowice,2-1,"Moskała 13, 41",III liga,
09,1999/00,18.09.1999,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Góral Żywiec,1-0,Sokołowski 28,III liga,
10,1999/00,25.09.1999,Niwka,Podbeskidzie Bielsko-Biała,AKS Górnik Niwka,1-0,Sokołowski 20,III liga,
11,1999/00,02.10.1999,Bielsko-Biała,Podbeskidzie Bielsko-Biała,MKS Lędziny,4-0,"Więzik 41, 85, Kurzeja 44, Bujok 65",III liga,
12,1999/00,09.10.1999,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Odra II Wodzisław,4-0,"Więzik 10, Moskała 50, Dziarmaga 54, Jendryczko 89",III liga,
13,1999/00,17.10.1999,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Pasjonat Dankowice,3-0,"Więzik 28, 82, Moskała 67",III liga,
14,1999/00,23.10.1999,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Beskid Skoczów,3-1,"Moskała 52, Lazar 54, Sokołowski 60",III liga,
15,1999/00,30.10.1999,Czechowice-Dziedzice,Podbeskidzie Bielsko-Biała,Walcownia Czechowice-Dziedzice,0-1,,III liga,
16,1999/00,06.11.1999,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Fablok Chrzanów,5-1,"Więzik 23, 45, Moskała 38, Lazar 46, Drewniak 56",III liga,
17,1999/00,11.11.1999,Jaworzno,Podbeskidzie Bielsko-Biała,Szczakowianka Jaworzno,1-0,Sokołowski 81,III liga,
18,1999/00,14.11.1999,Siersza,Podbeskidzie Bielsko-Biała,Górnik Siersza,3-0,"Lazar 22, Woźniak 70, Moskała 85",III liga,
19,1999/00,01.04.2000,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Rymer Niedobczyce,1-0,Moskała 44,III liga,
20,1999/00,08.04.2000,Bielsko-Biała (bks),Podbeskidzie Bielsko-Biała,BKS Stal,5-0,"Bujok 20, 59, 85, Moskała 27, Sokołowski 56",III liga,
21,1999/00,12.04.2000,Bielsko-Biała,Podbeskidzie Bielsko-Biała,VIctoria Jaworzno,3-0,"Moskała 27, Sokołowski 29, Więzik 61",III liga,
22,1999/00,15.04.2000,Libiąż,Podbeskidzie Bielsko-Biała,Janina Libiąż,3-0,"Moskała 10, 57, Dziarmaga 79",III liga,
23,1999/00,22.04.2000,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Unia Bieruń Stary,2-0,"Więzik 26, Młynarczyk 69",III liga,
24,1999/00,29.04.2000,Zembrzyce,Podbeskidzie Bielsko-Biała,Garbarz Zembrzyce,2-0,"Młynarczyk 15, Dziarmaga 50",III liga,
25,1999/00,03.05.2000,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Peberow Krzanowice,6-1,"Woźniak 9, Więzik 33, 70, Dziarmaga 35, Młynarczyk 39, Lazar 86",III liga,
26,1999/00,06.05.2000,Żywiec,Podbeskidzie Bielsko-Biała,Góral Żywiec,1-0,Młynarczyk 7,III liga,
27,1999/00,13.05.2000,Bielsko-Biała,Podbeskidzie Bielsko-Biała,AKS Górnik Niwka,5-0,"Więzik 16, 25, 79, Moskała 22, Woźniak 77",III liga,
28,1999/00,17.05.2000,Lędziny,Podbeskidzie Bielsko-Biała,MKS Lędziny,2-0,"Więzik 17, 53",III liga,
29,1999/00,21.05.2000,Wodzisław Śląski,Podbeskidzie Bielsko-Biała,Odra II Wodzisław,1-0,Lazar 75,III liga,
30,1999/00,28.05.2000,Dankowice,Podbeskidzie Bielsko-Biała,Pasjonat Dankowice,2-1,"Sokołowski 15, 38",III liga,
31,1999/00,31.05.2000,Skoczów,Podbeskidzie Bielsko-Biała,Beskid Skoczów,2-4,"Bujok 60, Więzik 90",III liga,
32,1999/00,03.06.2000,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Walcownia Czechowice-Dziedzice,2-1,"Lazar, 24 Więzik 83",III liga,
33,1999/00,10.06.2000,Chrzanów,Podbeskidzie Bielsko-Biała,Fablok Chrzanów,2-0,"Więzik 30, Młynarczyk 62",III liga,
34,1999/00,17.06.2000,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Szczakowianka Jaworzno,4-4,"Więzik 7, Lazar 27, 43, Bujok 60",III liga,
01,2000/01,05.08.2000,Ruda Śląska,Podbeskidzie Bielsko-Biała,Grunwald Ruda Śląska,1-3,Więzik 36,II liga,
I runda,2000/01,09.08.2000,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Włókniarz Kietrz,1-2,Kłoda,Puchar Polski,
02,2000/01,12.08.2000,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Lubuszanin Drezdenko,1-0,Więzik 75,II liga,
03,2000/01,19.08.2000,Knurów,Podbeskidzie Bielsko-Biała,Concordia Knurów,0-0,,II liga,
04,2000/01,23.08.2000,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Warta Zawiercie,4-0,"Kłoda 32, Olszar 52, 71, Woźniak 79",II liga,
05,2000/01,26.08.2000,Częstochowa,Podbeskidzie Bielsko-Biała,Raków Częstochowa,1-0,Olszar 26,II liga,
06,2000/01,02.09.2000,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Inkopax Wrocław,1-0,Olszar 47,II liga,
07,2000/01,09.09.2000,Gorzów Wielkopolski,Podbeskidzie Bielsko-Biała,GKP Gorzów Wielkopolski,2-0,"Olszar 25, Radzewicz 71",II liga,
08,2000/01,16.09.2000,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Górnik MK Katowice,3-0,"Piekarski 67, 75, Moskała 83",II liga,
09,2000/01,20.09.2000,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Lechia Zielona Góra,2-0,"Moskała 57, Olszar 73",II liga,
10,2000/01,22.09.2000,Świebodzin,Podbeskidzie Bielsko-Biała,Pogoń Świebodzin,1-2,Olszar 8,II liga,
11,2000/01,30.09.2000,Katowice,Podbeskidzie Bielsko-Biała,Rozwój Katowice,1-1,Bujok 73,II liga,
12,2000/01,07.10.2000,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Chrobry Głogów,1-1,Moskała 28,II liga,
13,2000/01,11.10.2000,Legnica,Podbeskidzie Bielsko-Biała,Miedź Legnica,1-1,Więzik 79,II liga,
14,2000/01,14.10.2000,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Pogoń Oleśnica,2-0,"Sokołowski 37, 88",II liga,
15,2000/01,21.10.2000,Żagań,Podbeskidzie Bielsko-Biała,Czarni Żagań,3-1,"Więzik 14, Olszar 25, Kłoda 65",II liga,
16,2000/01,28.10.2000,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Szczakowianka Jaworzno,1-0,Moskała 35,II liga,
17,2000/01,05.11.2000,Jastrzębie,Podbeskidzie Bielsko-Biała,GKS Jastrzębie,0-0,,II liga,
18,2000/01,11.11.2000,Opole,Podbeskidzie Bielsko-Biała,Odra II Opole,1-3,Dziarmaga 57,II liga,
19,2000/01,18.11.2000,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Górnik-Zagłębie Wałbrzych,2-1,"Kłoda 34, Olszar 39",II liga,
20,2000/01,24.03.2001,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Grunwald Ruda Śląska,4-1,"Bujok 32, Woźniak 35, Kłoda 43, Rozmus 50",II liga,
21,2000/01,30.03.2001,Drezdenko,Podbeskidzie Bielsko-Biała,Lubuszanin Drezdenko,1-0,Rozmus 35,II liga,
22,2000/01,06.04.2001,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Concordia Knurów,2-1,"Sikora 74, Więzik 79",II liga,
23,2000/01,10.04.2001,Zawiercie,Podbeskidzie Bielsko-Biała,Warta Zawiercie,0-0,,II liga,
24,2000/01,14.04.2001,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Raków Częstochowa,6-0,"Woźniak 26, 54, Więzik 29, 65, Rozmus 63, Sikora 73",II liga,
25,2000/01,21.04.2001,Wrocław,Podbeskidzie Bielsko-Biała,Inkopax Wrocław,1-0,,II liga,
26,2000/01,25.04.2001,Bielsko-Biała,Podbeskidzie Bielsko-Biała,GKP Gorzów Wielkopolski,2-0,"Piekarski 62, Sikora 78",II liga,
27,2000/01,28.04.2001,Katowice,Podbeskidzie Bielsko-Biała,Górnik MK Katowice,2-3,"Kłoda 24, Gałgan 42",II liga,
28,2000/01,03.05.2001,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Pogoń Świebodzin,2-1,"Rozmus 6, Kłoda 61",II liga,
29,2000/01,05.05.2001,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Rozwój Katowice,3-0,"Domagała 7, Jendryczko 16, Woźniak 66",II liga,
30,2000/01,12.05.2001,Głogów,Podbeskidzie Bielsko-Biała,Chrobry Głogów,1-0,Rozmus 41,II liga,
31,2000/01,16.05.2001,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Miedź Legnica,1-0,Rozmus 22,II liga,
32,2000/01,19.05.2001,Oleśnica,Podbeskidzie Bielsko-Biała,Pogoń Oleśnica,2-1,"Sikora 72, Gałgan 73",II liga,
33,2000/01,23.05.2001,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Czarni Żagań,2-0,"Rozmus 36, Kłoda 40",II liga,
34,2000/01,26.05.2001,Jaworzno,Podbeskidzie Bielsko-Biała,Szczakowianka Jaworzno,1-2,Rozmus 13,II liga,
35,2000/01,03.06.2001,Bielsko-Biała,Podbeskidzie Bielsko-Biała,GKS Jastrzębie,2-0,"Woźniak 8, Gałgan 90",II liga,
36,2000/01,06.06.2001,Zielona Góra,Podbeskidzie Bielsko-Biała,Lechia Zielona Góra,2-0,"Woźniak 23, Rozmus 93",II liga,
37,2000/01,09.06.2001,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Odra II Opole,1-1,Woźniak 36,II liga,
38,2000/01,16.06.2001,Wałbrzych,Podbeskidzie Bielsko-Biała,Górnik-Zagłębie Wałbrzych,2-0,"Woźniak 12, Rozmus 57",II liga,
01,2001/02,05.08.2001,Bielsko-Biała,Podbeskidzie Bielsko-Biała,GKS Jastrzębie,2-0,"Stawecki 25, Szłapa 67",II liga,
02,2001/02,12.08.2001,Katowice,Podbeskidzie Bielsko-Biała,Górnik MK Katowice,2-1,"Kurzeja 10, Bujok 55",II liga,
03,2001/02,15.08.2001,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Lubuszanin Drezdenko,2-0,"Cegiełka 54, Bogdan 78",II liga,
04,2001/02,18.08.2001,Gliwice,Podbeskidzie Bielsko-Biała,Piast Gliwice,2-2,"Szłapa 54, 82",II liga,
05,2001/02,26.08.2001,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Pogoń Oleśnica,1-1,Galeja 46,II liga,
06,2001/02,02.09.2001,Bielawa,Podbeskidzie Bielsko-Biała,Błękitni-Bielawianka Bielawa,5-0,"Stawecki 28, 65, Bogdan 40, Woźniak 50, Więzik 88",II liga,
07,2001/02,09.09.2001,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Rozwój Katowice,0-0,,II liga,
08,2001/02,16.09.2001,Wrocław,Podbeskidzie Bielsko-Biała,Inkopax Wrocław,0-1,,II liga,
09,2001/02,23.09.2001,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Polonia Bytom,3-0,"Pajkos 46, 53, Woźniak 78",II liga,
10,2001/02,30.09.2001,Głogów,Podbeskidzie Bielsko-Biała,Chrobry Głogów,1-2,"Szłapa 7, 28",II liga,
11,2001/02,07.10.2001,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Mec Sławięcice,1-1,Szłapa 21,II liga,
12,2001/02,14.10.2001,Knurów,Podbeskidzie Bielsko-Biała,Concordia Knurów,2-0,"Zięba 45, Pajkos 60",II liga,
13,2001/02,21.10.2001,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Grunwald Ruda Śląska,4-0,"Sikora 21, 56, Woźniak 25, Więzik 90",II liga,
14,2001/02,27.10.2001,Legnica,Podbeskidzie Bielsko-Biała,Miedź Legnica,1-1,Stawecki 51,II liga,
15,2001/02,04.11.2001,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Lechia Zielona Góra,4-0,"Stawecki 34, 70, Sikora 14, Szłapa 59",II liga,
16,2001/02,10.11.2001,Świebodzin,Podbeskidzie Bielsko-Biała,Pogoń Świebodzin,1-1,Szłapa 77,II liga,
17,2001/02,18.11.2001,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Czarni Żagań,3-0,"Szłapa 14, Pajkos 35, Stawecki 43",II liga,
18,2001/02,16.03.2002,Jastrzębie,Podbeskidzie Bielsko-Biała,GKS Jastrzębie,0-2,,II liga,
19,2001/02,24.03.2002,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Górnik MK Katowice,3-1,"Sikora 18, Krupa 68, Piekarski 90",II liga,
20,2001/02,29.03.2002,Drezdenko,Podbeskidzie Bielsko-Biała,Lubuszanin Drezdenko,2-0,"Sikora 8, Stawecki 54",II liga,
21,2001/02,07.04.2002,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Piast Gliwice,0-0,,II liga,
22,2001/02,13.04.2002,Oleśnica,Podbeskidzie Bielsko-Biała,Pogoń Oleśnica,1-0,Więzik 66,II liga,
23,2001/02,21.04.2002,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Błękitni-Bielawianka Bielawa,3-0,"Sikora 24, Bogdan 65, Więzik 75",II liga,
24,2001/02,24.04.2002,Katowice,Podbeskidzie Bielsko-Biała,Rozwój Katowice,2-0,"Więzik 88, 90",II liga,
25,2001/02,28.04.2002,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Inkopax Wrocław,1-1,Kurzeja 80,II liga,
26,2001/02,01.05.2002,Bytom,Podbeskidzie Bielsko-Biała,Polonia Bytom,2-0,"Więzik 25, Szłapa 88",II liga,
27,2001/02,05.05.2002,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Chrobry Głogów,4-0,"Więzik 9, 60, Stawecki 78, Woźniak 82",II liga,
28,2001/02,11.05.2002,Kędzierzyn-Koźle,Podbeskidzie Bielsko-Biała,KS Kędzierzyn-Koźle,2-0,"Szłapa 48, 75",II liga,
29,2001/02,19.05.2002,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Concordia Knurów,3-0,"Krupa 29, Więzik 84, Woźniak 86",II liga,
30,2001/02,25.05.2002,Ruda Śląska,Podbeskidzie Bielsko-Biała,Grunwald Ruda Śląska,1-0,Szłapa 54,II liga,
31,2001/02,02.06.2002,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Miedź Legnica,5-2,"Bogdan 10, 38, Sikora 21, 64, Pajkos74",II liga,
32,2001/02,05.06.2002,Zielona Góra,Podbeskidzie Bielsko-Biała,Lechia Zielona Góra,0-3,,II liga,
33,2001/02,08.06.2002,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Pogoń Świebodzin,4-0,"Więzik 6, 78, Sikora 55, Stawecki 69",II liga,
34,2001/02,15.06.2002,Żagań,Podbeskidzie Bielsko-Biała,Czarni Żagań,2-0,"Szłapa 45, Więzik 61",II liga,
01,2002/03,04.08.2002,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Tłoki Gorzyce,0-0,,I liga,6 000
02,2002/03,10.08.2002,Polkowice,Podbeskidzie Bielsko-Biała,Górnik Polkowice,0-2,,I liga,1 500
03,2002/03,20.08.2002,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Ceramika Opoczno,1-1,Adrian Sikora 68,I liga,5 000
